filenames,captions
WilhelmWeitling.jpg,[[File:WilhelmWeitling.jpg|thumb|[[Wilhelm Weitling]] is an example of a writer who added to anarchist theory without using the exact term.{{sfn|Carlson|1972|pp=22–23}}]]
"Paolo Monti - Servizio fotografico (Napoli, 1969) - BEIC 6353768.jpg","[[File:Paolo Monti - Servizio fotografico (Napoli, 1969) - BEIC 6353768.jpg|thumb|upright=.7|[[Zeno of Citium]] ({{Circa|334|262 BC}}), whose ''[[Republic (Zeno)|Republic]]'' inspired [[Peter Kropotkin]]{{sfn|Marshall|1993|p=70}}]]"
Bakunin.png,[[File:Bakunin.png|thumb|upright|Mikhail Bakunin opposed the Marxist aim of [[dictatorship of the proletariat]] and allied himself with the federalists in the First International before his expulsion by the Marxists.]]
Makhno group.jpg,[[File:Makhno group.jpg|thumb|left|Nestor Makhno seen with members of the anarchist [[Revolutionary Insurgent Army of Ukraine]]]]
Rojava Sewing Cooperative.jpg,[[File:Rojava Sewing Cooperative.jpg|thumb|Rojava's support efforts for workers to form cooperatives is exemplified in this sewing cooperative.]]
Portrait of Pierre Joseph Proudhon 1865.jpg,[[File:Portrait of Pierre Joseph Proudhon 1865.jpg|thumb|upright|Pierre-Joseph Proudhon is the primary proponent of mutualism and influenced many future individualist anarchist and social anarchist thinkers.{{sfn|Wilbur|2019|pp=216–218}}]]
Jarach and Zerzan.JPG,"[[File:Jarach and Zerzan.JPG|thumb|Lawrence Jarach (left) and [[John Zerzan]] (right) are two prominent contemporary anarchist authors, with Zerzan being a prominent voice within [[anarcho-primitivism]] and Jarach a notable advocate of [[post-left anarchy]].]]"
McKinleyAssassination.jpg,[[File:McKinleyAssassination.jpg|thumb|left|The relationship between [[anarchism and violence]] is a controversial subject among anarchists as shown by anarchist [[Leon Czolgosz]] [[Assassination of William McKinley|assassinating]] [[William McKinley]].]]
Black bloc at RNC running.jpg,[[File:Black bloc at RNC running.jpg|thumb|Black bloc protesters parading anarcho-communism imagery such as the motto &quot;[[No War but the Class War]]&quot;]]
"Fight_the_state,_not_wars.jpg","&lt;!-- Important! Strive to explain how anarchists perceive authority and oppression and why they reject them. Jun (2019), p. 41. --&gt;[[File:Fight_the_state,_not_wars.jpg|thumb|Anarchist protesters in [[Boston]] opposing state-waged war]]"
AnarchaFeminism.png,"[[File:AnarchaFeminism.png|thumb|upright=1.2|Collection of [[anarcha-feminist]] protests, symbols, and flags]]"
Apple Harvest by Camille Pissarro.jpg,[[File:Apple Harvest by Camille Pissarro.jpg|thumb|340px|''Les chataigniers a Osny'' (1888) by anarchist painter Camille Pissarro is a notable example of blending anarchism and the arts.{{sfn|Antliff|1998|p=99}}]]
Greenland_Albedo_Change.png,[[File:Greenland_Albedo_Change.png|thumb|Albedo change in [[Greenland]]: The map shows the difference between the amount of sunlight [[Greenland]] reflected in the summer of 2011 versus the average percent it reflected between 2000 and 2006. Some areas reflecting close to 20 percent less light than a decade ago.&lt;ref&gt;{{Cite web |date=2011 |title=Greenland's Ice Is Growing Darker |url=https://earthobservatory.nasa.gov/images/76916/greenlands-ice-is-growing-darker |access-date=6 July 2023 |website=NASA}}&lt;/ref&gt;]]
"(Almería) Greenhouses of Almería, Spain (cropped).jpg","[[File:(Almería) Greenhouses of Almería, Spain (cropped).jpg|thumb|Greenhouses of Almería, Spain]]"
Albedo-e hg.svg,[[File:Albedo-e hg.svg|thumb|upright=1.3|The percentage of [[diffuse reflection|diffusely reflected]] [[sunlight]] relative to various surface conditions]]
20220726 Feedbacks affecting global warming and climate change - block diagram.svg,"[[File:20220726 Feedbacks affecting global warming and climate change - block diagram.svg|thumb|right|upright=1.5| Some effects of global warming can either enhance ([[positive feedback]]s such as the ice-albedo feedback) or inhibit ([[negative feedback]]s) warming.&lt;ref name=NASA_IntegratedSystem&gt;{{cite web |title=The Study of Earth as an Integrated System |url=https://climate.nasa.gov/nasa_science/science/ |website=nasa.gov |publisher=NASA |date=2016 |archive-url=https://web.archive.org/web/20161102022200/https://climate.nasa.gov/nasa_science/science/ |archive-date=2 November 2016 |url-status=live }}&lt;/ref&gt;&lt;ref name=IPCC_AR6_SGI_FigTS.17&gt;Fig. TS.17, ''[https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_TS.pdf Technical Summary],'' Sixth Assessment Report (AR6), Working Group I, IPCC, 2021, p. 96. [https://web.archive.org/web/20220721021347/https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_TS.pdf Archived] from the original on 21 July 2022.&lt;/ref&gt; Observations and modeling studies indicate that there is a net positive feedback to Earth's current global warming.&lt;ref name=WG1AR5_TS_FINAL&gt;{{Cite book|url=https://www.ipcc.ch/site/assets/uploads/2018/02/WG1AR5_TS_FINAL.pdf |title=IPCC AR5 WG1. Technical Summary |last1=Stocker |first1=Thomas F. |last2=Dahe |first2=Qin |last3=Plattner |first3=Gian-Kaksper |year=2013 |archive-url=https://web.archive.org/web/20230716041216/https://www.ipcc.ch/site/assets/uploads/2018/02/WG1AR5_TS_FINAL.pdf |archive-date=16 July 2023 |url-status=live }} See esp. TFE.6: Climate Sensitivity and Feedbacks at p. 82.&lt;/ref&gt;]]"
water reflectivity.jpg,[[File:water reflectivity.jpg|thumb|upright=1.3|Reflectivity of smooth water at {{convert|20|C|F}} (refractive index=1.333)]]
Titan and Saturn - May 6 2012 - combined (35516187116).jpg,"[[File:Titan and Saturn - May 6 2012 - combined (35516187116).jpg|thumb|upright=1.5|The moon [[Titan (moon)|Titan]] is darker than [[Saturn]] even though they receive the same amount of sunlight. This is due to a difference in albedo (0.22 versus 0.499 in [[geometric albedo]]).]]In astronomy, the term '''albedo''' can be defined in several different ways, depending upon the application and the wavelength of electromagnetic radiation involved."
Proto-semiticA-01.svg,|fam2=[[File:Proto-semiticA-01.svg|20px|Proto-Sinaitic 'alp]]
Protoalef.svg,|fam3=[[File:Protoalef.svg|20px|Proto-Caanite Aleph]]
Phoenician_aleph.svg,|fam4=[[File:Phoenician_aleph.svg|20px|Phoenician Aleph]]
Greek-uncial-1.jpg,|fam6=[[𐌀]][[File:Greek-uncial-1.jpg|20px|Greek Classical uncial]]
Semitic-2.jpg,"|fam7=[[File:Semitic-2.jpg|20px|Early Latin A]][[File:Latin-uncial-1.jpg|20px|Latin 300 AD uncial, version 1]]"
Latin-uncial-1.jpg,"|fam7=[[File:Semitic-2.jpg|20px|Early Latin A]][[File:Latin-uncial-1.jpg|20px|Latin 300 AD uncial, version 1]]"
EgyptianA-01.svg,| [[File:EgyptianA-01.svg|Egyptian hieroglyphic ox head]]
Proto-semiticA-01.svg,| [[File:Proto-semiticA-01.svg|35x35px|Boeotian]]
Protoalef.svg,"| [[File:Protoalef.svg|35x35px|Semitic letter &quot;A&quot;, version 1]]"
PhoenicianA-01.svg,| [[File:PhoenicianA-01.svg|40px|Phoenician aleph]]
Alpha uc lc.svg,"| [[File:Alpha uc lc.svg|45px|Greek alpha, version 1]]"
EtruscanA.svg,"| [[File:EtruscanA.svg|30px|Etruscan A, version 1]]"
Capitalis monumentalis A.svg,| [[File:Capitalis monumentalis A.svg|x20px|Latin A]]
Greek-uncial-1.jpg,"| [[File:Greek-uncial-1.jpg|35px|Greek Classical uncial, version 1]]"
Latin-uncial-1.jpg,"| colspan=&quot;2&quot; | [[File:Latin-uncial-1.jpg|35px|Latin 300 AD uncial, version 1]]"
A-small glyphs.svg,[[File:A-small glyphs.svg|thumb|140px|Different [[glyphs]] of the lowercase letter A]]
LowercaseA.svg,&lt;div style=&quot;display: inline-block; vertical-align: middle&quot;&gt;[[File:LowercaseA.svg|thumb|none|upright|[[Allograph|Typographic variants]] include a double-storey '''a''' and single-storey '''ɑ'''.]]&lt;/div&gt;
BlackletterA-01.svg,|[[File:BlackletterA-01.svg|Blackletter A]]&lt;br /&gt;[[Blackletter]] A
UncialA-01.svg,|[[File:UncialA-01.svg|Uncial A]]&lt;br /&gt;[[Uncial script|Uncial]] A
Acap.svg,|[[File:Acap.svg|Another Capital A]]&lt;br /&gt;Another Blackletter A&amp;nbsp;
ModernRomanA-01.svg,|[[File:ModernRomanA-01.svg|64 px|Modern Roman A]]&lt;br /&gt;Modern Roman A
Modern Italic A.svg,|[[File:Modern Italic A.svg|64 px|Modern Italic A]]&lt;br /&gt;Modern Italic A
Modern Script A.svg,|[[File:Modern Script A.svg|64 px|Modern Script A]]&lt;br /&gt;Modern script A
