doc_id,title,filenames,captions
1,Anarchism,WilhelmWeitling.jpg,wilhelmweitl wilhelm weitl writer ad anarchist theori exact term sfn carlson pp
2,Anarchism,"Paolo Monti - Servizio fotografico (Napoli, 1969) - BEIC 6353768.jpg",paolo monti servizio fotografico napoli beic upright zeno citium circa bc republ zeno republ inspir peter kropotkin sfn marshal
3,Anarchism,Bakunin.png,bakunin upright mikhail bakunin oppos marxist aim dictatorship proletariat alli federalist intern expuls marxist
4,Anarchism,Makhno group.jpg,makhno group nestor makhno member anarchist revolutionari insurg armi ukrain
5,Anarchism,Rojava Sewing Cooperative.jpg,rojava sew cooper rojava' support effort worker form cooper exemplifi sew cooper
6,Anarchism,Portrait of Pierre Joseph Proudhon 1865.jpg,portrait pierr joseph proudhon upright pierr joseph proudhon primari propon mutual influenc futur individualist anarchist social anarchist thinker sfn wilbur pp
7,Anarchism,Jarach and Zerzan.JPG,jarach zerzan lawrenc jarach john zerzan promin contemporari anarchist author zerzan promin voic anarcho primitiv jarach notabl advoc post anarchi
8,Anarchism,McKinleyAssassination.jpg,mckinleyassassin relationship anarch violenc controversi subject anarchist shown anarchist leon czolgosz assassin william mckinley assassin william mckinley
9,Anarchism,Black bloc at RNC running.jpg,black bloc rnc run black bloc protest parad anarcho commun imageri motto quot war class war quot
10,Anarchism,"Fight_the_state,_not_wars.jpg",lt import strive explain anarchist perceiv author oppress reject jun gt fight state war anarchist protest boston oppos state wage war
11,Anarchism,AnarchaFeminism.png,anarchafemin upright collect anarcha feminist protest symbol flag
12,Anarchism,Apple Harvest by Camille Pissarro.jpg,appl harvest camil pissarro le chataigni osni anarchist painter camil pissarro notabl blend anarch art sfn antliff
13,Albedo,Greenland_Albedo_Change.png,greenland albedo chang albedo chang greenland map show differ amount sunlight greenland reflect summer versu averag percent reflect area reflect close percent light decad ago lt ref gt cite web date titl greenland' ice grow darker url http earthobservatori nasa gov imag greenland ice grow darker access date juli websit nasa lt ref gt
14,Albedo,"(Almería) Greenhouses of Almería, Spain (cropped).jpg",almería greenhous almería spain crop greenhous almería spain
15,Albedo,Albedo-e hg.svg,albedo hg upright percentag diffus reflect diffus reflect sunlight rel surfac condit
16,Albedo,20220726 Feedbacks affecting global warming and climate change - block diagram.svg,feedback affect global warm climat chang block diagram upright effect global warm enhanc posit feedback ice albedo feedback inhibit neg feedback warm lt ref nasa integratedsystem gt cite web titl studi earth integr system url http climat nasa gov nasa scienc scienc websit nasa gov publish nasa date archiv url http web archiv org web http climat nasa gov nasa scienc scienc archiv date novemb url statu live lt ref gt lt ref ipcc sgi figt gt fig ts http www ipcc ch report download report ipcc wgi ts pdf technic summari sixth assess report work group ipcc http web archiv org web http www ipcc ch report download report ipcc wgi ts pdf archiv origin juli lt ref gt observ model studi net posit feedback earth' current global warm lt ref ts final gt cite book url http www ipcc ch site asset upload ts final pdf titl ipcc technic summari stocker thoma dahe qin plattner gian kaksper year archiv url http web archiv org web http www ipcc ch site asset upload ts final pdf archiv date juli url statu live esp tfe climat sensit feedback lt ref gt
17,Albedo,water reflectivity.jpg,water reflect upright reflect smooth water convert refract index
18,Albedo,Titan and Saturn - May 6 2012 - combined (35516187116).jpg,titan saturn combin upright moon titan moon titan darker saturn receiv amount sunlight due differ albedo versu geometr albedo astronomi term albedo defin way depend applic wavelength electromagnet radiat involv
19,A,Proto-semiticA-01.svg,proto semitica proto sinait alp
20,A,Protoalef.svg,protoalef proto caanit aleph
21,A,Phoenician_aleph.svg,phoenician aleph phoenician aleph
22,A,Greek-uncial-1.jpg,𐌀 greek uncial greek classic uncial
23,A,Semitic-2.jpg,semit earli latin latin uncial latin ad uncial version
24,A,Latin-uncial-1.jpg,semit earli latin latin uncial latin ad uncial version
25,A,EgyptianA-01.svg,egyptiana egyptian hieroglyph ox head
26,A,Proto-semiticA-01.svg,proto semitica boeotian
27,A,Protoalef.svg,protoalef semit letter quot quot version
28,A,PhoenicianA-01.svg,phoeniciana phoenician aleph
29,A,Alpha uc lc.svg,alpha uc lc greek alpha version
30,A,EtruscanA.svg,etruscana etruscan version
31,A,Capitalis monumentalis A.svg,capitali monumentali latin
32,A,Greek-uncial-1.jpg,greek uncial greek classic uncial version
33,A,Latin-uncial-1.jpg,colspan quot quot latin uncial latin ad uncial version
34,A,A-small glyphs.svg,small glyph glyph lowercas letter
35,A,LowercaseA.svg,lt div style quot display inlin block vertic align middl quot gt lowercasea upright allograph typograph variant includ doubl storey singl storey ɑ lt div gt
36,A,BlackletterA-01.svg,blacklettera blacklett lt br gt blacklett
37,A,UncialA-01.svg,unciala uncial lt br gt uncial script uncial
38,A,Acap.svg,acap capit lt br gt blacklett amp nbsp
39,A,ModernRomanA-01.svg,modernromana modern roman lt br gt modern roman
40,A,Modern Italic A.svg,modern ital modern ital lt br gt modern ital
41,A,Modern Script A.svg,modern script modern script lt br gt modern script
42,A,"Road sign on the R639 north of Urlingford, Ireland - 20090502.jpg",road sign north urlingford ireland road sign ireland show irish quot latin alpha quot form quot quot lower upper case form
43,A,Pronunciation of the name of the letter ⟨a⟩ in European languages.png,pronunci letter european languag pronunci letter angbr european languag aː differ phonet ipablink ipablink ä ipablink æ ipablink ɑ depend languag
44,A,A for apple.jpg,appl english languag educ word appl consist letter lt ref gt cite journal mankin jennif simner julia date titl appl role letter word associ develop graphem colour synaesthesia url http sussex figshar articl journal contribut appl role letter word associ develop graphem colour synaesthesia file pdf journal multisensori research volum issu page doi pmid access date decemb lt ref gt
45,Alabama,Moundville Archaeological Site Alabama.jpg,moundvil archaeolog site alabama moundvil archaeolog site hale counti occupi nativ american mississippian cultur ce
46,Alabama,Mississippiterritory.PNG,mississippiterritori upright
47,Alabama,Thornhill 01.jpg,thornhil main hous built thornhil forkland alabama thornhil green counti black belt region alabama black belt plantat
48,Alabama,Huntsville Courthouse Square 1864.jpg,huntsvil courthous squar union armi troop occupi courthous squar huntsvil captur occup feder forc
49,Alabama,Birmingham Alabama skyline 1915.jpg,birmingham alabama skylin develop skylin birmingham
50,Alabama,Mount Sinai School Autauga County July 2011 1.jpg,mount sinai school autauga counti juli mount sinai school rural autauga counti complet rosenwald school built state
51,Alabama,Map of Alabama terrain NA.jpg,map alabama terrain na
52,Alabama,OnoIslandAl.jpg,onoisland ono island alabama ono island baldwin counti
53,Alabama,MonteSanoStateParkhsval.jpg,montesanostateparkhsv mont sano state park huntsvil
54,Alabama,Cathedral Cavern 2019.png,cathedr cavern cathedr cavern state park cathedr cavern marshal counti alabama marshal counti
55,Alabama,NaturalBridgeAl.jpg,naturalbridg natur bridg rock winston counti alabama winston counti longest natur bridg east rocki
56,Alabama,"Cliffs inside the Wetumpka impact crater in Wetumpka, Alabama.jpg",cliff insid wetumpka impact crater wetumpka alabama cliff rim wetumpka crater wetumpka meteorit crater
57,Alabama,Phil Campbell tornado damage.jpg,phil campbel tornado damag tornado damag phil campbel alabama phil campbel statewid super outbreak april tornado outbreak
58,Alabama,CahabaRiverNWR1.jpg,stand hymenoc coronaria cahaba lili hymenoc coronaria cahaba river cahaba river nation wildlif refug
59,Alabama,Dauphin St Mobile Al.jpg,dauphin st mobil al upright dauphin street mobil
60,Alabama,Lake Guntersville Lighthouse.jpg,lake guntersvil lighthous upright lighthous guntersvil lake
61,Alabama,Alabama population map.png,alabama popul map alabama' popul densiti
62,Alabama,Ethnic Origins in Alabama.png,ethnic origin alabama ethnic origin alabama
63,Alabama,Highlands UMC Birmingham Dec 2012 2.jpg,highland umc birmingham dec highland unit methodist church birmingham part point south histor district
64,Alabama,Temple B'Nai Shalom Dec2009 01.jpg,templ b'nai shalom upright templ b'nai sholom huntsvil alabama templ b'nai sholom huntsvil establish oldest synagogu build continu state
65,Alabama,Islamic Center of Tuscaloosa.jpg,islam tuscaloosa upright islam tuscaloosa
66,Alabama,RTJattheshoals.jpg,rtjatthesho robert trent jone golf trail larg econom impact state
