CMDLINE C:\Users\arsal\AppData\Local\Programs\Python\Python312\python.exe index_search.py
MEM 1.699219 1708734831.4570
MEM 17.910156 1708734831.5583
MEM 27.480469 1708734831.6584
MEM 32.886719 1708734831.7586
MEM 39.031250 1708734831.8593
MEM 46.460938 1708734831.9595
MEM 50.871094 1708734832.0601
MEM 61.597656 1708734832.1604
MEM 71.902344 1708734832.2609
MEM 83.500000 1708734832.3611
MEM 91.578125 1708734832.4614
MEM 98.839844 1708734832.5618
MEM 105.625000 1708734832.6621
MEM 111.980469 1708734832.7627
MEM 117.183594 1708734832.8632
MEM 124.585938 1708734832.9636
MEM 130.914062 1708734833.0641
MEM 137.058594 1708734833.1647
MEM 145.136719 1708734833.2653
MEM 152.574219 1708734833.3657
MEM 158.292969 1708734833.4664
MEM 169.722656 1708734833.5670
MEM 174.550781 1708734833.6676
MEM 184.925781 1708734833.7682
MEM 189.261719 1708734833.8688
MEM 189.464844 1708734833.9694
MEM 189.601562 1708734834.0700
MEM 189.937500 1708734834.1706
MEM 190.203125 1708734834.2712
MEM 190.449219 1708734834.3718
MEM 190.699219 1708734834.4724
MEM 190.937500 1708734834.5731
MEM 191.156250 1708734834.6736
MEM 191.433594 1708734834.7743
MEM 191.628906 1708734834.8749
MEM 191.820312 1708734834.9755
MEM 192.027344 1708734835.0761
MEM 192.238281 1708734835.1767
MEM 192.449219 1708734835.2773
MEM 192.597656 1708734835.3779
MEM 192.785156 1708734835.4785
MEM 192.976562 1708734835.5791
MEM 193.363281 1708734835.6796
MEM 193.558594 1708734835.7802
MEM 193.757812 1708734835.8808
MEM 193.929688 1708734835.9814
MEM 194.085938 1708734836.0819
MEM 194.250000 1708734836.1824
MEM 194.449219 1708734836.2829
MEM 194.609375 1708734836.3835
MEM 194.785156 1708734836.4842
MEM 194.957031 1708734836.5848
MEM 195.148438 1708734836.6854
MEM 195.320312 1708734836.7860
MEM 195.527344 1708734836.8866
MEM 195.710938 1708734836.9872
MEM 195.902344 1708734837.0878
MEM 196.085938 1708734837.1885
MEM 196.261719 1708734837.2891
MEM 196.414062 1708734837.3896
MEM 196.597656 1708734837.4902
MEM 196.789062 1708734837.5908
MEM 196.949219 1708734837.6914
MEM 197.117188 1708734837.7920
MEM 197.289062 1708734837.8926
MEM 197.468750 1708734837.9933
MEM 197.652344 1708734838.0939
MEM 198.203125 1708734838.1945
MEM 198.382812 1708734838.2951
MEM 198.531250 1708734838.3957
MEM 198.699219 1708734838.4962
MEM 198.859375 1708734838.5968
MEM 199.031250 1708734838.6974
MEM 199.175781 1708734838.7981
MEM 199.363281 1708734838.8986
MEM 199.546875 1708734838.9992
MEM 199.726562 1708734839.0998
MEM 199.925781 1708734839.2003
MEM 200.097656 1708734839.3008
MEM 200.269531 1708734839.4013
MEM 200.429688 1708734839.5019
MEM 200.609375 1708734839.6024
MEM 200.750000 1708734839.7029
MEM 200.914062 1708734839.8034
MEM 201.070312 1708734839.9040
MEM 201.156250 1708734840.0045
MEM 201.199219 1708734840.1051
MEM 201.371094 1708734840.2056
MEM 201.554688 1708734840.3062
MEM 201.738281 1708734840.4068
MEM 201.898438 1708734840.5074
MEM 202.070312 1708734840.6080
MEM 202.234375 1708734840.7086
MEM 202.414062 1708734840.8092
MEM 202.566406 1708734840.9099
MEM 202.722656 1708734841.0104
MEM 202.800781 1708734841.1110
MEM 202.980469 1708734841.2116
MEM 203.148438 1708734841.3122
MEM 203.320312 1708734841.4128
MEM 203.472656 1708734841.5134
MEM 203.625000 1708734841.6139
MEM 203.761719 1708734841.7146
MEM 203.902344 1708734841.8152
MEM 204.050781 1708734841.9157
MEM 204.218750 1708734842.0163
MEM 204.394531 1708734842.1169
MEM 204.554688 1708734842.2174
MEM 204.695312 1708734842.3181
MEM 204.871094 1708734842.4186
MEM 205.039062 1708734842.5193
MEM 205.187500 1708734842.6199
MEM 205.355469 1708734842.7205
MEM 205.500000 1708734842.8211
MEM 205.648438 1708734842.9217
MEM 205.792969 1708734843.0223
MEM 205.953125 1708734843.1229
MEM 206.113281 1708734843.2235
MEM 206.285156 1708734843.3241
MEM 206.441406 1708734843.4247
MEM 206.632812 1708734843.5254
MEM 206.800781 1708734843.6260
MEM 206.957031 1708734843.7266
MEM 207.117188 1708734843.8272
MEM 207.261719 1708734843.9278
MEM 207.414062 1708734844.0284
MEM 207.531250 1708734844.1290
MEM 207.632812 1708734844.2296
MEM 207.789062 1708734844.3301
MEM 207.941406 1708734844.4306
MEM 208.089844 1708734844.5311
MEM 208.246094 1708734844.6317
MEM 208.417969 1708734844.7323
MEM 208.675781 1708734844.8329
MEM 208.832031 1708734844.9335
MEM 208.992188 1708734845.0341
MEM 209.148438 1708734845.1347
MEM 209.320312 1708734845.2353
MEM 209.484375 1708734845.3359
MEM 210.542969 1708734845.4365
MEM 210.707031 1708734845.5371
MEM 210.882812 1708734845.6377
MEM 211.019531 1708734845.7382
MEM 211.179688 1708734845.8388
MEM 211.335938 1708734845.9394
MEM 211.453125 1708734846.0400
MEM 211.527344 1708734846.1406
MEM 211.675781 1708734846.2413
MEM 211.835938 1708734846.3419
MEM 212.000000 1708734846.4425
MEM 212.164062 1708734846.5431
MEM 212.292969 1708734846.6437
MEM 212.441406 1708734846.7443
MEM 212.691406 1708734846.8450
MEM 212.839844 1708734846.9456
MEM 212.980469 1708734847.0462
MEM 213.140625 1708734847.1468
MEM 213.312500 1708734847.2474
MEM 213.449219 1708734847.3480
MEM 213.601562 1708734847.4485
MEM 213.757812 1708734847.5491
MEM 213.910156 1708734847.6497
MEM 214.082031 1708734847.7504
MEM 214.242188 1708734847.8509
MEM 214.402344 1708734847.9515
MEM 214.589844 1708734848.0521
MEM 214.769531 1708734848.1527
MEM 214.917969 1708734848.2533
MEM 215.070312 1708734848.3540
MEM 215.234375 1708734848.4546
MEM 215.382812 1708734848.5551
MEM 215.542969 1708734848.6557
MEM 215.695312 1708734848.7563
MEM 215.839844 1708734848.8569
MEM 215.996094 1708734848.9575
MEM 216.140625 1708734849.0582
MEM 216.289062 1708734849.1588
MEM 216.429688 1708734849.2594
MEM 216.570312 1708734849.3599
MEM 216.738281 1708734849.4604
MEM 216.871094 1708734849.5610
MEM 217.031250 1708734849.6615
MEM 217.199219 1708734849.7620
MEM 217.367188 1708734849.8626
MEM 217.519531 1708734849.9632
MEM 217.679688 1708734850.0638
MEM 217.789062 1708734850.1644
MEM 217.964844 1708734850.2650
MEM 218.125000 1708734850.3657
MEM 218.277344 1708734850.4663
MEM 218.433594 1708734850.5669
MEM 218.593750 1708734850.6675
MEM 218.734375 1708734850.7681
MEM 218.890625 1708734850.8687
MEM 219.050781 1708734850.9693
MEM 219.222656 1708734851.0699
MEM 219.371094 1708734851.1706
MEM 219.527344 1708734851.2712
MEM 219.667969 1708734851.3718
MEM 219.812500 1708734851.4724
MEM 219.992188 1708734851.5730
MEM 220.144531 1708734851.6737
MEM 220.316406 1708734851.7743
MEM 220.472656 1708734851.8749
MEM 220.621094 1708734851.9755
MEM 220.781250 1708734852.0761
MEM 220.992188 1708734852.1767
MEM 221.121094 1708734852.2772
MEM 221.132812 1708734852.3778
MEM 221.253906 1708734852.4783
MEM 221.414062 1708734852.5789
MEM 221.570312 1708734852.6795
MEM 221.718750 1708734852.7801
MEM 221.875000 1708734852.8807
MEM 222.011719 1708734852.9814
MEM 222.167969 1708734853.0820
MEM 222.335938 1708734853.1826
MEM 222.511719 1708734853.2832
MEM 222.667969 1708734853.3838
MEM 222.816406 1708734853.4844
MEM 222.957031 1708734853.5850
MEM 223.121094 1708734853.6856
MEM 223.281250 1708734853.7862
MEM 223.449219 1708734853.8868
MEM 223.589844 1708734853.9874
MEM 223.730469 1708734854.0881
MEM 224.003906 1708734854.1887
MEM 224.148438 1708734854.2893
MEM 224.300781 1708734854.3899
MEM 224.453125 1708734854.4905
MEM 224.621094 1708734854.5911
MEM 224.765625 1708734854.6917
MEM 224.921875 1708734854.7923
MEM 225.054688 1708734854.8929
MEM 225.218750 1708734854.9934
MEM 225.218750 1708734855.0940
MEM 225.218750 1708734855.1946
MEM 226.351562 1708734855.2952
MEM 234.343750 1708734855.3958
MEM 243.238281 1708734855.4964
MEM 252.355469 1708734855.5970
MEM 252.843750 1708734855.7165
MEM 258.671875 1708734855.8171
MEM 268.257812 1708734855.9177
MEM 270.824219 1708734856.0183
MEM 268.835938 1708734856.1189
MEM 250.839844 1708734856.2195
MEM 250.839844 1708734856.3201
MEM 135.328125 1708734856.4206
